date,humidity_missing,imputation
2023-01-27 09:00:00,1.97,-24.91
2023-01-27 10:00:00,2.02,-66.34
2023-01-27 11:00:00,1.89,-9.82
2023-01-27 12:00:00,,1.81
2023-01-27 13:00:00,1.75,-26.17
2023-01-27 14:00:00,1.75,-19.80
2023-01-27 15:00:00,,1.66
2023-01-27 16:00:00,1.65,-14.84
2023-01-27 17:00:00,1.52,4.87
2023-01-27 18:00:00,1.41,9.15
2023-01-27 19:00:00,,1.58
2023-01-27 20:00:00,,1.58
2023-01-27 21:00:00,1.68,-22.47
2023-01-27 22:00:00,1.67,0.93
2023-01-27 23:00:00,,1.71
2023-01-28 00:00:00,1.82,-25.46
2023-01-28 01:00:00,1.80,-12.73
2023-01-28 02:00:00,1.83,-20.56
2023-01-28 03:00:00,1.89,-20.97
2023-01-28 04:00:00,1.77,1.87
2023-01-28 05:00:00,1.82,-26.64
2023-01-28 06:00:00,1.84,-13.71
2023-01-28 07:00:00,1.91,-27.02
2023-01-28 08:00:00,1.94,-38.12
2023-01-28 09:00:00,,1.91
2023-01-28 10:00:00,1.96,-33.43
2023-01-28 11:00:00,1.82,1.89
2023-01-28 12:00:00,1.92,-26.06
2023-01-28 13:00:00,1.93,-52.28
2023-01-28 14:00:00,1.64,0.06
2023-01-28 15:00:00,,1.67
2023-01-28 16:00:00,1.51,12.10
2023-01-28 17:00:00,1.50,-16.17
2023-01-28 18:00:00,1.47,-10.77
2023-01-28 19:00:00,1.61,-20.70
2023-01-28 20:00:00,1.66,-20.88
2023-01-28 21:00:00,,1.63
2023-01-28 22:00:00,1.70,-19.85
2023-01-28 23:00:00,1.73,-8.96
2023-01-29 00:00:00,1.67,-2.63
2023-01-29 01:00:00,1.60,-7.57
2023-01-29 02:00:00,1.59,-8.38
2023-01-29 03:00:00,1.59,-17.07
2023-01-29 04:00:00,,1.67
2023-01-29 05:00:00,,1.76
2023-01-29 06:00:00,1.73,-23.96
2023-01-29 07:00:00,1.88,-42.28
2023-01-29 08:00:00,1.79,-22.48
2023-01-29 09:00:00,,1.75
2023-01-29 10:00:00,,1.73
2023-01-29 11:00:00,1.76,-19.46
2023-01-29 12:00:00,1.69,-14.24
2023-01-29 13:00:00,1.64,-9.16
2023-01-29 14:00:00,1.58,-4.17
2023-01-29 15:00:00,1.68,-27.63
2023-01-29 16:00:00,,1.51
2023-01-29 17:00:00,1.40,-6.57
2023-01-29 18:00:00,1.33,10.50
2023-01-29 19:00:00,1.51,-4.35
2023-01-29 20:00:00,1.61,-5.48
2023-01-29 21:00:00,1.49,1.61
2023-01-29 22:00:00,1.67,1.67
2023-01-29 23:00:00,1.73,-24.15
2023-01-30 00:00:00,1.77,-33.38
2023-01-30 01:00:00,1.61,1.71
2023-01-30 02:00:00,1.74,-30.84
2023-01-30 03:00:00,1.58,-15.61
2023-01-30 04:00:00,,1.74
2023-01-30 05:00:00,1.83,-40.61
2023-01-30 06:00:00,1.82,-32.85
2023-01-30 07:00:00,,1.77
2023-01-30 08:00:00,1.72,-1.97
2023-01-30 09:00:00,1.61,8.52
2023-01-30 10:00:00,1.75,-27.45
2023-01-30 11:00:00,1.78,-36.70
2023-01-30 12:00:00,1.62,-0.88
2023-01-30 13:00:00,1.70,-27.85
2023-01-30 14:00:00,1.52,-1.51
2023-01-30 15:00:00,1.58,1.16
2023-01-30 16:00:00,,1.56
2023-01-30 17:00:00,1.47,12.36
2023-01-30 18:00:00,,1.52
2023-01-30 19:00:00,,1.55
2023-01-30 20:00:00,,1.56
2023-01-30 21:00:00,,1.62
2023-01-30 22:00:00,,1.64
2023-01-30 23:00:00,,1.67
2023-01-31 00:00:00,1.78,-37.31
2023-01-31 01:00:00,,1.72
2023-01-31 02:00:00,,1.70
2023-01-31 03:00:00,1.70,-13.72
2023-01-31 04:00:00,1.71,-12.70
2023-01-31 05:00:00,1.79,1.73
2023-01-31 06:00:00,1.73,-31.81
2023-01-31 07:00:00,1.73,1.71
2023-01-31 08:00:00,1.59,-6.93
2023-01-31 09:00:00,1.89,-47.69
2023-01-31 10:00:00,1.66,-7.83
2023-01-31 11:00:00,1.59,4.00
2023-01-31 12:00:00,1.44,-2.10
2023-01-31 13:00:00,1.43,5.88
2023-01-31 14:00:00,1.62,-22.06
2023-01-31 15:00:00,1.47,3.27
2023-01-31 16:00:00,,1.56
2023-01-31 17:00:00,1.60,-17.04
2023-01-31 18:00:00,1.51,1.54
2023-01-31 19:00:00,1.62,-10.05
2023-01-31 20:00:00,1.68,-9.58
2023-01-31 21:00:00,,1.64
2023-01-31 22:00:00,1.52,14.91
2023-01-31 23:00:00,1.68,-19.13
2023-02-01 00:00:00,1.55,11.17
2023-02-01 01:00:00,1.52,-4.73
2023-02-01 02:00:00,1.58,2.02
2023-02-01 03:00:00,1.66,-12.52
2023-02-01 04:00:00,,1.69
2023-02-01 05:00:00,1.71,-25.18
2023-02-01 06:00:00,,1.69
2023-02-01 07:00:00,,1.69
2023-02-01 08:00:00,,1.67
2023-02-01 09:00:00,1.46,0.61
2023-02-01 10:00:00,1.58,1.64
2023-02-01 11:00:00,1.52,1.64
2023-02-01 12:00:00,1.57,-6.68
